person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
21.0,female,High School,12282.0,0,OWN,1000.0,EDUCATION,11.14,0.08141996417521576,2.0,504,Yes,0
21.0,female,High School,12951.0,0,OWN,2500.0,VENTURE,7.14,0.19303528685043625,2.0,532,No,1
21.0,female,High School,12739.0,0,OWN,1600.0,VENTURE,14.74,0.1255985556166104,3.0,640,No,1
21.0,female,Associate,13113.0,0,OWN,4500.0,HOMEIMPROVEMENT,8.63,0.34317089910775567,2.0,651,No,1
24.0,female,Master,14283.0,1,MORTGAGE,1750.0,EDUCATION,10.99,0.12252327942309038,2.0,679,No,1
24.0,female,Bachelor,13866.0,0,OWN,1500.0,PERSONAL,7.29,0.1081782778018174,3.0,600,Yes,0
21.0,female,Associate,14288.0,0,MORTGAGE,4575.0,VENTURE,17.74,0.3201987681970885,3.0,626,No,1
23.0,male,High School,14293.0,0,OWN,1400.0,PERSONAL,9.32,0.09795004547680683,3.0,607,No,0
21.0,female,Bachelor,14988.0,0,OTHER,4000.0,EDUCATION,12.84,0.26688017080330934,2.0,553,No,1
21.0,male,High School,14858.0,0,OWN,2000.0,MEDICAL,11.12,0.13460761879122357,3.0,589,No,1
21.0,male,Associate,15150.0,0,OWN,2500.0,EDUCATION,7.51,0.16501650165016502,4.0,600,No,1
24.0,female,High School,15082.0,0,OWN,2500.0,VENTURE,12.69,0.16576050921628432,3.0,631,No,1
24.0,male,Associate,15229.0,1,OWN,1750.0,VENTURE,11.01,0.11491233830192396,3.0,631,Yes,0
22.0,male,Associate,15013.0,0,MORTGAGE,1500.0,EDUCATION,14.84,0.09991340837940452,3.0,688,No,0
25.0,male,High School,15162.0,1,OWN,3000.0,MEDICAL,11.01,0.19786307874950534,3.0,564,No,1
21.0,female,High School,15307.0,0,OWN,3000.0,EDUCATION,13.61,0.1959887633109035,3.0,557,No,1
21.0,female,Bachelor,15252.0,0,OWN,4200.0,PERSONAL,13.48,0.2753737214791503,4.0,663,No,1
22.0,male,Bachelor,15432.0,3,OWN,4750.0,DEBTCONSOLIDATION,7.14,0.30780196993260756,2.0,601,No,1
26.0,male,Bachelor,15505.0,0,OWN,2700.0,DEBTCONSOLIDATION,11.01,0.17413737504030957,4.0,587,No,1
21.0,female,Bachelor,15394.0,0,MORTGAGE,3250.0,DEBTCONSOLIDATION,15.68,0.2111212160582045,3.0,518,No,1
24.0,female,Bachelor,15928.0,1,OWN,1600.0,MEDICAL,13.57,0.10045203415369161,3.0,689,Yes,0
22.0,male,High School,16218.0,1,MORTGAGE,2000.0,PERSONAL,5.42,0.12331976815883586,4.0,614,No,1
25.0,female,Bachelor,16211.0,2,OWN,1750.0,PERSONAL,13.61,0.10795139103078157,3.0,597,Yes,0
25.0,male,High School,16378.0,0,OWN,3000.0,DEBTCONSOLIDATION,12.87,0.18317254854072537,4.0,603,No,1
24.0,male,Bachelor,16572.0,0,MORTGAGE,3650.0,HOMEIMPROVEMENT,9.91,0.22025102582669562,3.0,589,No,1
24.0,male,High School,16470.0,2,MORTGAGE,4500.0,DEBTCONSOLIDATION,11.83,0.273224043715847,4.0,643,No,1
23.0,male,High School,16599.0,0,OWN,2400.0,DEBTCONSOLIDATION,13.49,0.1445870233146575,2.0,505,No,1
25.0,female,Associate,16395.0,4,OWN,3600.0,MEDICAL,14.59,0.21957913998170173,3.0,646,No,1
22.0,female,Bachelor,16890.0,0,OWN,4750.0,EDUCATION,11.01,0.2812314979277679,3.0,645,No,1
23.0,female,Bachelor,17149.0,0,OWN,4950.0,DEBTCONSOLIDATION,7.9,0.28864656831302116,4.0,531,No,1
